st,statefip,year,adopt_year,unins
WY,56,2009,,0.209770449
WY,56,2010,,0.209220742
WY,56,2011,,0.217575255
WY,56,2012,,0.223226854
WY,56,2013,,0.185652405
WY,56,2014,,0.176417199
WY,56,2015,,0.150055512
WY,56,2016,,0.161608073
WY,56,2017,,0.172870674
WY,56,2018,,0.158335741
WY,56,2019,,0.176972959
WY,56,2020,,0.173120508
WY,56,2021,,0.166431986
